time,open,high,low,close,Volume
1733284560,95875.4,95875.4,95875.4,95875.4,0.01053296
1733284620,95875.3,95875.4,95875.3,95875.3,0.02791137
1733284680,95875.4,95875.4,95856.2,95856.2,0.05093053
1733284740,95856.2,95856.3,95856.2,95856.2,0.01474131
1733284800,95856.3,95856.3,95856.2,95856.3,0.02517391
1733284860,95856.2,95856.3,95856.2,95856.2,0.49824285
1733284920,95856.3,95856.3,95754.1,95811.4,1.50137207
1733284980,95811.4,95811.4,95811.3,95811.4,1.13604143
1733285040,95811.4,95811.4,95811.3,95811.4,0.07570394
1733285100,95811.4,95893.4,95811.4,95893.4,0.24408711
1733285160,95893.4,95893.4,95893.3,95893.4,0.04725502
1733285220,95893.4,95893.4,95893.3,95893.4,0.00316484
1733285280,95893.4,95893.7,95893.3,95893.4,24.58111489
1733285340,95893.4,95893.4,95860.4,95885.9,0.17240192
1733285400,95885.9,95886.0,95885.9,95886.0,0.04020388
1733285460,95885.9,95885.9,95876.7,95876.7,0.05099977
1733285520,95876.7,95876.7,95871.6,95871.7,0.01441742
1733285580,95871.7,95871.7,95834.4,95842.8,0.14785964
1733285640,95842.7,95842.8,95842.7,95842.7,0.02553362
1733285700,95842.7,95842.7,95808.4,95812.1,0.01052117
1733285760,95812.1,95812.1,95782.5,95808.5,0.14333139
1733285820,95808.5,95810.8,95808.5,95810.8,0.12006222
1733285880,95810.8,95810.8,95810.7,95810.8,1.01796839
1733285940,95810.7,95810.8,95810.7,95810.8,0.030692
1733286000,95810.7,95862.5,95810.7,95862.5,0.02565255
1733286060,95863.4,95863.5,95863.4,95863.5,0.0046879
1733286120,95871.7,95900.3,95871.7,95900.2,0.04668954
1733286180,95900.3,95944.0,95900.2,95944.0,0.08427637
1733286240,95943.9,95943.9,95943.9,95943.9,0.00012696
1733286300,95944.0,95944.0,95922.6,95922.7,0.28471281
1733286360,95922.8,95922.8,95922.7,95922.8,0.05675268
1733286420,95922.8,95922.8,95911.8,95912.4,0.04796478
1733286480,95912.4,95915.5,95912.3,95915.5,0.02331934
1733286540,95915.5,95915.5,95915.5,95915.5,0.08828008
1733286600,95915.5,95915.5,95900.0,95900.0,1.22832144
1733286660,95900.0,95900.1,95900.0,95900.1,0.01929457
1733286720,95900.0,95900.1,95900.0,95900.1,0.10764957
1733286780,95900.1,95900.1,95900.0,95900.0,0.04683478
1733286840,95900.1,95900.4,95900.0,95900.4,0.06027369
1733286900,95900.4,95915.1,95900.3,95915.1,0.05315491
1733286960,95915.0,95921.9,95915.0,95921.9,0.0076452
1733287020,95921.9,95923.2,95921.9,95923.2,0.09692616
1733287080,95923.2,95923.2,95866.6,95867.6,0.07670902
1733287140,95881.9,95881.9,95881.9,95881.9,0.0185151
1733287200,95881.9,95881.9,95881.8,95881.9,0.43332269
1733287260,95881.9,95915.1,95881.9,95915.1,0.0279604
1733287320,95915.1,95915.1,95915.0,95915.0,0.00316525
1733287380,95915.1,95915.1,95915.0,95915.0,0.01071153
1733287440,95915.1,95915.1,95915.0,95915.1,0.14136171
1733287500,95915.0,95915.1,95915.0,95915.0,0.00190544
1733287560,95915.0,95915.1,95895.9,95895.9,0.47413802
1733287620,95890.0,95890.1,95885.0,95885.0,0.07491959
1733287680,95885.0,95885.1,95885.0,95885.1,0.306627
1733287740,95885.1,95885.1,95880.0,95880.1,0.54016107
1733287800,95880.1,95882.7,95880.0,95882.6,0.01233402
1733287860,95882.6,95882.6,95882.5,95882.6,0.0022855
1733287920,95884.9,95885.0,95884.9,95885.0,0.00063496
1733287980,95885.0,95885.0,95884.9,95885.0,0.13374159
1733288040,95885.0,95885.1,95885.0,95885.1,0.01043908
1733288100,95885.1,95890.1,95885.1,95890.1,0.01026094
1733288160,95890.1,95915.1,95890.1,95915.1,0.30285045
1733288220,95915.1,95921.1,95915.1,95921.1,0.00533603
